SupplierID,SupplierName,Country,City,ContactPerson,Email,Phone,PaymentTerms,LeadTimeDays,Rating,IsActive
SUP-001,Almarai Co.,USA,Jeddah,Ahmed Al-Bishi,procurement@almaraico.com,+966542868828,Net 45,11,4.3,0
SUP-002,Saudi Dairy & Foodstuff Co.,Saudi Arabia,New York,Nasser Al-Rashid,procurement@saudidairyandfoodstu.com,+966122575562,Net 45,17,3.8,1
SUP-003,Al Safi Danone,Jordan,Dubai,Ali Al-Zahrani,procurement@alsafidanone.com,+966966306997,Net 45,31,4,1
SUP-004,Nadec Foods,Netherlands,Dammam,Ali Al-Mutairi,procurement@nadecfoods.com,+966647295260,Net 30,16,4.9,1
SUP-005,Al Karamah Group,Saudi Arabia,Jeddah,Nasser Al-Otaibi,procurement@alkaramahgroup.com,+966656164955,Net 45,5,4.3,0
SUP-006,Lusine Bakery,Saudi Arabia,Kuwait City,Mohammed Al-Ghamdi,procurement@lusinebakery.com,+966594374605,Net 60,39,3,1
SUP-007,KDD Dairy,Saudi Arabia,Dubai,Hassan Al-Dosari,procurement@kdddairy.com,+966241244663,Net 30,27,3.2,1
SUP-008,Al Foah Dates,Saudi Arabia,Manama,Abdullah Al-Harbi,procurement@alfoahdates.com,+966596977837,Net 30,41,4.1,0
SUP-009,Al Ain Water,UK,Dubai,Khalid Al-Shehri,procurement@alainwater.com,+966746231783,Net 45,23,4.6,1
SUP-010,PepsiCo Arabia,UAE,Riyadh,Hassan Al-Shammari,procurement@pepsicoarabia.com,+966745935572,Net 30,16,4.8,0
SUP-011,Coca-Cola KSA,UK,Manama,Fahad Al-Zahrani,procurement@coca-colaksa.com,+966863100814,Net 15,12,3.2,1
SUP-012,Red Bull Middle East,UK,Istanbul,Sultan Al-Dosari,procurement@redbullmiddleeast.com,+966788320463,Cash on Delivery,26,3,1
SUP-013,Monster Energy KSA,Jordan,Cairo,Mohammed Al-Malki,procurement@monsterenergyksa.com,+966124716857,Net 30,43,2.9,1
SUP-014,Nestlé Middle East,Turkey,Jeddah,Nasser Al-Mutairi,procurement@nestlémiddleeast.com,+966881016525,Net 45,38,4.7,1
SUP-015,Unilever Gulf,USA,Jeddah,Omar Al-Khalifa,procurement@unilevergulf.com,+966945812670,Net 60,10,3.2,1
SUP-016,P&G Arabia,Egypt,Riyadh,Ali Al-Khalifa,procurement@pandgarabia.com,+966577187530,Net 30,35,4.8,1
SUP-017,Johnson & Johnson ME,USA,Istanbul,Yasser Al-Harbi,procurement@johnsonandjohnsonme.com,+966360185867,Net 30,37,4.9,0
SUP-018,Cadbury Adams,Saudi Arabia,New York,Abdullah Al-Shehri,procurement@cadburyadams.com,+966125014631,Net 60,22,3.1,1
SUP-019,Mondelez International,Turkey,Jeddah,Mohammed Al-Bishi,procurement@mondelezinternationa.com,+966819289546,Net 30,11,4.1,0
SUP-020,Kellogg's Middle East,Saudi Arabia,Abu Dhabi,Sultan Al-Suwailem,procurement@kellogg'smiddleeast.com,+966738427073,Net 45,22,3.5,1
SUP-021,Quaker Oats,Egypt,Istanbul,Faisal Al-Otaibi,procurement@quakeroats.com,+966440158366,Net 30,24,2.6,0
SUP-022,Al Ghurair Foods,UAE,New York,Fahad Al-Rashid,procurement@alghurairfoods.com,+966294705205,Net 30,17,2.7,1
SUP-023,Mazola KSA,Bahrain,Jeddah,Sultan Al-Harbi,procurement@mazolaksa.com,+966599788677,Net 15,16,3.8,0
